code,name,description,refreshed_at,from_date,to_date
BIOFUEL_PROD_D_ARG,Biofuel Production - Daily Average - Argentina,Biofuel Production - Daily Average - Argentina. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_AUS,Biofuel Production - Daily Average - Australia,Biofuel Production - Daily Average - Australia. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_AUT,Biofuel Production - Daily Average - Austria,Biofuel Production - Daily Average - Austria. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_BEL,Biofuel Production - Daily Average - Belgium,Biofuel Production - Daily Average - Belgium. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_BRA,Biofuel Production - Daily Average - Brazil,Biofuel Production - Daily Average - Brazil. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_CAN,Biofuel Production - Daily Average - Canada,Biofuel Production - Daily Average - Canada. 1000 Barrels per Day. Renewable energy.,22-08-2019 15:54,31-12-1990,31-12-2018
BIOFUEL_PROD_D_CESA,Biofuel Production - Daily Average - Total S. & Cent. America,Biofuel Production - Daily Average - Total S. & Cent. America. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_CHN,Biofuel Production - Daily Average - China,Biofuel Production - Daily Average - China. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_COL,Biofuel Production - Daily Average - Colombia,Biofuel Production - Daily Average - Colombia. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_DEU,Biofuel Production - Daily Average - Germany,Biofuel Production - Daily Average - Germany. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_ESP,Biofuel Production - Daily Average - Spain,Biofuel Production - Daily Average - Spain. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_EUR,Biofuel Production - Daily Average - Total Europe,Biofuel Production - Daily Average - Total Europe. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_FIN,Biofuel Production - Daily Average - Finland,Biofuel Production - Daily Average - Finland. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_FRA,Biofuel Production - Daily Average - France,Biofuel Production - Daily Average - France. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
BIOFUEL_PROD_D_GBR,Biofuel Production - Daily Average - United Kingdom,Biofuel Production - Daily Average - United Kingdom. 1000 Barrels per Day. Renewable energy.,22-05-2021 04:00,31-12-1990,31-12-2019
